domain,status,ttl_seconds
ab.ooo,taken,582560
aba.ooo,taken,578227
abd.ooo,taken,583671
abg.ooo,taken,580657
aby.ooo,taken,583905
ace.ooo,taken,581530
ach.ooo,taken,582559
ad.ooo,taken,582182
adam.ooo,taken,584130
adi.ooo,taken,584246
ado.ooo,taken,550514
adri.ooo,taken,583789
adrian.ooo,taken,584661
adrie.ooo,taken,582192
adv.ooo,taken,550026
afa.ooo,taken,578256
aga.ooo,taken,578837
agatha.ooo,taken,550582
agi.ooo,taken,554267
ai.ooo,taken,585688
aida.ooo,taken,584743
aina.ooo,taken,584514
akito.ooo,taken,585666
akshay.ooo,taken,583177
ala.ooo,taken,583498
alan.ooo,taken,584326
albert.ooo,taken,584228
albin.ooo,taken,585498
albion.ooo,taken,581111
alexa.ooo,taken,584746
alexander.ooo,taken,585474
alexandr.ooo,taken,585421
alexandre.ooo,taken,585087
alfredo.ooo,taken,584905
ali.ooo,taken,583661
alia.ooo,taken,582612
aliance.ooo,taken,585201
alias.ooo,taken,579528
allen.ooo,taken,584353
almaz.ooo,taken,585465
almira.ooo,taken,584512
alperen.ooo,taken,552900
alpha.ooo,taken,585128
altin.ooo,taken,584246
aman.ooo,taken,583123
amanda.ooo,taken,584971
amar.ooo,taken,584157
amen.ooo,taken,582534
america.ooo,taken,585015
amin.ooo,taken,584236
amir.ooo,taken,583397
amit.ooo,taken,583482
amon.ooo,taken,579197
amparo.ooo,taken,585006
anda.ooo,taken,577612
ander.ooo,taken,584705
anders.ooo,taken,583253
andrew.ooo,taken,585426
andrina.ooo,taken,582914
andy.ooo,taken,584666
angela.ooo,taken,584962
ani.ooo,taken,584763
aniket.ooo,taken,577844
aniq.ooo,taken,580660
ann.ooo,taken,585454
anna.ooo,taken,585446
annie.ooo,taken,584404
anta.ooo,taken,583628
antal.ooo,taken,551577
antho.ooo,taken,584159
any.ooo,taken,584994
aoi.ooo,taken,585700
ar.ooo,taken,584355
araba.ooo,taken,578295
arda.ooo,taken,585515
areta.ooo,taken,559498
argo.ooo,taken,578943
ari.ooo,taken,583712
aria.ooo,taken,554686
arizona.ooo,taken,551875
armando.ooo,taken,584911
arnold.ooo,taken,585087
aro.ooo,taken,554175
aroo.ooo,taken,554324
art.ooo,taken,585443
aru.ooo,taken,584493
asi.ooo,taken,583435
